Date,Week #,Engine,Query ID,Query,Cited?,Position,Cited Page,Quote Type,Competitor Cited,Notes
2026-05-18,20,ChatGPT,Q1,"I run a recruitment agency in India. What does DPDPA require me to do about candidate CVs and consent? Cite sources.",,,,,,Example row — delete before live use
2026-05-18,20,Claude,Q1,"I run a recruitment agency in India. What does DPDPA require me to do about candidate CVs and consent? Cite sources.",,,,,,
2026-05-18,20,Perplexity,Q1,"I run a recruitment agency in India. What does DPDPA require me to do about candidate CVs and consent? Cite sources.",,,,,,
2026-05-18,20,Gemini,Q1,"I run a recruitment agency in India. What does DPDPA require me to do about candidate CVs and consent? Cite sources.",,,,,,
2026-05-18,20,ChatGPT,Q2,"What's the maximum DPDPA penalty for a small business that fails to notify a data breach in India? Cite sources.",,,,,,
2026-05-18,20,Claude,Q2,"What's the maximum DPDPA penalty for a small business that fails to notify a data breach in India? Cite sources.",,,,,,
2026-05-18,20,Perplexity,Q2,"What's the maximum DPDPA penalty for a small business that fails to notify a data breach in India? Cite sources.",,,,,,
2026-05-18,20,Gemini,Q2,"What's the maximum DPDPA penalty for a small business that fails to notify a data breach in India? Cite sources.",,,,,,
2026-05-18,20,ChatGPT,Q3,"Under India's DPDPA, do I need consent before sharing a candidate's CV with a client company? Cite sources.",,,,,,
2026-05-18,20,Claude,Q3,"Under India's DPDPA, do I need consent before sharing a candidate's CV with a client company? Cite sources.",,,,,,
2026-05-18,20,Perplexity,Q3,"Under India's DPDPA, do I need consent before sharing a candidate's CV with a client company? Cite sources.",,,,,,
2026-05-18,20,Gemini,Q3,"Under India's DPDPA, do I need consent before sharing a candidate's CV with a client company? Cite sources.",,,,,,
2026-05-18,20,ChatGPT,Q4,"Plain-English summary of India's DPDP Rules 2025 — what changed and when does it apply? Cite sources.",,,,,,
2026-05-18,20,Claude,Q4,"Plain-English summary of India's DPDP Rules 2025 — what changed and when does it apply? Cite sources.",,,,,,
2026-05-18,20,Perplexity,Q4,"Plain-English summary of India's DPDP Rules 2025 — what changed and when does it apply? Cite sources.",,,,,,
2026-05-18,20,Gemini,Q4,"Plain-English summary of India's DPDP Rules 2025 — what changed and when does it apply? Cite sources.",,,,,,
2026-05-18,20,ChatGPT,Q5,"What classifies a company as a Significant Data Fiduciary under India's DPDPA, and what extra obligations does it trigger? Cite sources.",,,,,,
2026-05-18,20,Claude,Q5,"What classifies a company as a Significant Data Fiduciary under India's DPDPA, and what extra obligations does it trigger? Cite sources.",,,,,,
2026-05-18,20,Perplexity,Q5,"What classifies a company as a Significant Data Fiduciary under India's DPDPA, and what extra obligations does it trigger? Cite sources.",,,,,,
2026-05-18,20,Gemini,Q5,"What classifies a company as a Significant Data Fiduciary under India's DPDPA, and what extra obligations does it trigger? Cite sources.",,,,,,
